sector,GRANTEE,AMOUNT COMMITTED,percentage
education,Wake County Public Libraries,48000.0,0.0
others,Seattle Arts & Lectures,48000.0,0.0
education,Omaha Public Library,48000.0,0.0
education,Akron-Summit Cnty Public Library,48000.0,0.0
health,Institut National de Santé Publique du Québec (INSPQ),47970.0,0.0
growth,Ohio County Public Library,47940.0,0.0
education,The Walter and Eliza Hall Institute of Medical Research,47930.0,0.0
growth,Thomas Branigan Memorial Library,47779.0,0.0
education,University of Virginia,47751.0,0.0
education,East Moline Public Library,47635.0,0.0
growth,Highlands County Library System/Sebring Public Library,47472.0,0.0
education,Brockton Public Library System,47455.0,0.0
education,Camden City Free Public Library,47307.0,0.0
education,Winn Parish Library,47267.0,0.0
education,Outagamie Waupaca Library System,47266.0,0.0
education,Ruth Enlow Library of Garrett County,47255.0,0.0
growth,Campbell County Public Library District,47055.0,0.0
growth,Pulaski County Public Library,47055.0,0.0
growth,The Nonprofit Center,47000.0,0.0
others,Microbiology Society,46994.0,0.0
growth,Bowling Green Public Library,46978.0,0.0
education,Thorson Memorial Library,46957.0,0.0
education,Trails Regional Library,46740.0,0.0
education,Slayton Public Library,46681.0,0.0
education,Limon Memorial Library,46681.0,0.0
education,La Veta Public Library District,46681.0,0.0
growth,Harry M. Caudill Memorial Library,46677.0,0.0
growth,Latah County Library District,46617.0,0.0
others,Washington Metropolitan Scholars,46600.0,0.0
education,West Union Community Library,46580.0,0.0
education,Fort Bend County Libraries,46500.0,0.0
growth,Clarksville Montgomery County Public Library,46294.0,0.0
growth,Chesterfield County Library,46287.0,0.0
growth,Lexington County Public Library System,46287.0,0.0
growth,Allendale-Hampton-Jasper Regional Library,46287.0,0.0
growth,Duval County/San Diego Public Library,46264.0,0.0
growth,Virginia Beach Public Library,46200.0,0.0
growth,Sarasota County Library System,46094.0,0.0
health,North Country Church,46085.0,0.0
education,Keller Public Library,46035.0,0.0
education,West Plains Public Library,46035.0,0.0
education,Bonne Terre Memorial Library,46035.0,0.0
education,Nevada Public Library,46035.0,0.0
others,Seattle Parks Foundation,46000.0,0.0
education,Montgomery Co-Norristown Public Library,45985.0,0.0
education,San Jose State University Foundation,45942.0,0.0
others,Jemez Pueblo Community Library,45902.0,0.0
education,Butler County Fed Lib System,45810.0,0.0
education,Fargo Public Library,45810.0,0.0
education,Watertown Regional Library,45810.0,0.0
education,Lyon County Library,45780.0,0.0
education,South Central Library System,45700.0,0.0
education,Forest Grove City Library,45415.0,0.0
education,Halifax County Library System,45408.0,0.0
others,Urban League of Metropolitan Seattle,45373.0,0.0
education,Audubon Regional Library,45300.0,0.0
education,Cass County Public Library,45300.0,0.0
growth,King County Library System Foundation,45250.0,0.0
growth,Pope County Library System,45101.0,0.0
growth,World Food Prize Foundation,45084.0,0.0
growth,Taylor County Public Library,45050.0,0.0
others,World Economic Forum,45000.0,0.0
education,Grantmakers for Education,45000.0,0.0
health,Low Income Housing Institute,45000.0,0.0
health,Ministry of Water Supply & Drainage of Sri Lanka,45000.0,0.0
others,United Nations Association of the USA Inc.,45000.0,0.0
education,Santa Ana Public Library,45000.0,0.0
others,Preeclampsia Foundation,45000.0,0.0
education,University of the Witwatersrand,44990.0,0.0
education,PHINEO gAG,44960.0,0.0
education,Boonslick Regional Library,44950.0,0.0
education,Asotin County Library,44930.0,0.0
growth,Prairie-River Library District,44926.0,0.0
others,Queen Anne Helpline Inc,44915.0,0.0
growth,Mid Arkansas Regional Library,44897.0,0.0
education,Lebanon Public Library,44873.0,0.0
growth,Franklin County Public Library,44838.0,0.0
growth,Calhoun County Library,44831.0,0.0
education,Bedford Cnty Fed Lib System,44823.0,0.0
education,Public Library of Des Moines,44800.0,0.0
education,Northern Waters Library Service,44789.0,0.0
education,Smyth-Bland Regional Library,44774.0,0.0
education,Randolph County Public Library,44774.0,0.0
health,MIHR USA,44725.0,0.0
education,"Stony Brook Foundation, Inc.",44620.0,0.0
education,Daviess County Library,44620.0,0.0
growth,Logan County Public Library,44574.0,0.0
education,Springfield-Greene County,44535.0,0.0
education,Canton Free Library,44493.0,0.0
education,Cumberland County Public Library,44358.0,0.0
others,National Foundation for Infectious Diseases,44310.0,0.0
others,Erudee Foundation,44300.0,0.0
others,Building Changes,44266.0,0.0
growth,Independent Philanthropy Association South Africa (IPASA),43980.0,0.0
health,GE India Technology Centre Private Limited,43966.0,0.0
education,Plaquemines Parish Library,43764.0,0.0
growth,Sunflower County Library,43727.0,0.0
education,Stinson Memorial Public Library District,43558.0,0.0
education,Seneca Nation Library,43556.0,0.0
others,Pacific Science Center Foundation,43500.0,0.0
education,Contra Costa County Library,43500.0,0.0
growth,Henderson County Clint W. Murchison Memorial,43424.0,0.0
growth,Monroe County Public Library System,43374.0,0.0
education,Newport Public Library,43350.0,0.0
education,Shawano City-County Library,43335.0,0.0
growth,Manistee County Library,43278.0,0.0
growth,Richmond Public Library,43235.0,0.0
education,Tioga County Library System,43153.0,0.0
education,St. John The Baptist Parish Library,43000.0,0.0
others,SIFF,43000.0,0.0
growth,Pine Bluff Jefferson County Library System,42921.0,0.0
education,La Crosse Public Library,42845.0,0.0
education,C-CAMP,42826.0,0.0
education,Delta County Public Library District,42800.0,0.0
health,Birla Institute of Technology and Science,42759.0,0.0
education,Franklin Public Library,42753.0,0.0
others,Birthday Dreams,42666.0,0.0
education,Gates Cambridge Trust,42628.0,0.0
education,Southwest Wisconsin Library System,42615.0,0.0
education,Carbondale Public Library,42600.0,0.0
growth,Washington County Public Library,42506.0,0.0
others,Seattle Central Community College Foundation,42500.0,0.0
education,Edwardsville Public Library,42415.0,0.0
growth,Rusk County Library System,42370.0,0.0
education,Scott County Public Library,42316.0,0.0
education,Town Of Tonawanda Public Library,42316.0,0.0
growth,Hardin County Public Library,42294.0,0.0
growth,Washington County Library,42167.0,0.0
education,Halifax County/South Boston Regional Library,42151.0,0.0
education,Iowa City Public Library,42100.0,0.0
education,Milton Public Library,42097.0,0.0
education,Sheffield Public Library,42060.0,0.0
education,Burlington Public Library,42024.0,0.0
education,Lee County Library System,42000.0,0.0
education,The Library Network Cooperative,42000.0,0.0
others,King County Regional Homelessness Authority,42000.0,0.0
growth,Pueblo of Jemez,41926.0,0.0
education,MESH,41886.0,0.0
education,Donna Public Library,41800.0,0.0
education,University of Oklahoma,41654.0,0.0
education,Greene County Library System,41650.0,0.0
growth,Calhoun County Public Library,41522.0,0.0
growth,Hayward Public Library,41326.0,0.0
education,State of Vermont Midstate Regional Library,41321.0,0.0
others,Tilden Public Library,41250.0,0.0
education,Stevens County Rural Library District,41120.0,0.0
growth,Nogales City/Santa Cruz County Public Library,40965.0,0.0
growth,Boyd County Public Library,40953.0,0.0
education,American Association of Veterinary Medical Colleges,40890.0,0.0
education,Oskaloosa Public Library,40605.0,0.0
growth,Darlington County Library,40540.0,0.0
growth,Lawrence County Public Library,40435.0,0.0
growth,Bayliss Public Library,40335.0,0.0
education,Royal Society of Tropical Medicine and Hygiene,40250.0,0.0
education,Tuzzy Consortium Library,40220.0,0.0
education,Brookline Public Library,40090.0,0.0
education,Everett Public Library,40070.0,0.0
education,Catskill Public Library,40055.0,0.0
health,"Syntegra, Inc.",40000.0,0.0
equality,Tides Foundation,40000.0,0.0
others,Helen School,40000.0,0.0
education,Education Service Center Region XIII,40000.0,0.0
equality,OneAmerica,40000.0,0.0
equality,Washington Bus Education Fund,40000.0,0.0
health,Fondazione Achille Sclavo O.N.L.U.S.,40000.0,0.0
equality,Win/Win Network,40000.0,0.0
others,The ClementJames Centre,40000.0,0.0
equality,"Bellwether Education Partners, Inc.",40000.0,0.0
equality,Seattle King County Coalition on Homelessness,40000.0,0.0
health,Phages for Global Health,40000.0,0.0
others,DC Rape Crisis Center,40000.0,0.0
equality,Entre Hermanos,40000.0,0.0
others,Micah Australia,40000.0,0.0
others,Sasha Bruce Youthwork Inc,40000.0,0.0
health,Equality Federation Institute,40000.0,0.0
others,One Degree Academy,40000.0,0.0
education,Richland Public Library,39975.0,0.0
others,University of Maryland,39865.0,0.0
growth,Scott Sebastian Regional Library,39819.0,0.0
others,"Society for Mucosal Immunology, Inc.",39675.0,0.0
growth,Santa Fe Public Library,39651.0,0.0
education,"Republic of Palau, Ministry of Education, Palau Public Library",39630.0,0.0
growth,Jackson County Public Library,39605.0,0.0
others,Research America,39600.0,0.0
growth,University of Chinese Academy of Sciences,39491.0,0.0
growth,Marin County Free Library,39461.0,0.0
growth,Jasper Public Library,39405.0,0.0
education,Desoto Parish Library,39277.0,0.0
education,Russell County Public Library,39159.0,0.0
others,University of Medicine and Dentistry of New Jersey,39060.0,0.0
growth,Kenton County Public Library,39026.0,0.0
education,Duluth  Public Library,39026.0,0.0
education,Dover Public Library,39000.0,0.0
education,Salt Lake County Library System,39000.0,0.0
education,Pine River Public Library District,38915.0,0.0
education,Val Verde County Library,38900.0,0.0
growth,Imperial County Library,38857.0,0.0
education,North Schuylkill Public Library Association,38804.0,0.0
growth,Zhejiang Normal University,38749.0,0.0
education,Spencer County Public Library,38656.0,0.0
education,Oxford Public Library,38653.0,0.0
growth,Bullitt County Public Library District,38630.0,0.0
growth,Columbus-Lowndes Public Library,38513.0,0.0
health,Instituto de Apoio à Fundação Universidade de Pernambuco,38505.0,0.0
others,Water First International,38500.0,0.0
education,St. Bernard Parish Library,38435.0,0.0
others,Hellenic Agricultural Organization - Demeter,38378.0,0.0
education,Chelsea Public Library,38378.0,0.0
education,Dorchester County Public Library,38100.0,0.0
growth,Crawford County Library System,38082.0,0.0
growth,Chattanooga-Hamilton County Bicentennial Library,38035.0,0.0
education,Hillsboro Public Library,37965.0,0.0
others,Fred Hutchinson Cancer Research Center,37850.0,0.0
education,Hayner Public Library District,37745.0,0.0
education,Marinette County Consolidated Public Library Service,37725.0,0.0
education,Washington County Free Library,37650.0,0.0
education,Nashua Public Library,37570.0,0.0
education,Portage County Public Library,37495.0,0.0
education,Grant County Library,37444.0,0.0
growth,Watsonville Public Library,37398.0,0.0
education,Whitewater Valley Community Library District,37366.0,0.0
growth,Hendry County Library System,37330.0,0.0
growth,Putnam County Library System,37286.0,0.0
education,Aurora Public Library District,37166.0,0.0
education,Claymont School District Public Library,37061.0,0.0
health,"Fundação de Apoio ao Ensino, Pesquisa e Assistência",37048.0,0.0
education,Menominee Tribal County Library,37000.0,0.0
growth,Sonoma County Library,37000.0,0.0
growth,Pierce County,37000.0,0.0
growth,Kootenai-Shoshone Area Libraries,36999.0,0.0
growth,Inyo County Free Library,36980.0,0.0
growth,Banning Unified School District Library District,36949.0,0.0
growth,Colton Public Library - Main Library,36949.0,0.0
others,Africare,36900.0,0.0
education,Hickory Public Library,36785.0,0.0
education,Pickaway County District Public Library,36785.0,0.0
growth,Santa Barbara Public Library,36726.0,0.0
growth,Eagle Pass Public Library,36716.0,0.0
education,Edgecombe County Memorial Library,36716.0,0.0
education,Ashtabula Cnty District Library,36716.0,0.0
education,Meherrin Regional Library,36716.0,0.0
education,Galax-Carroll Regional Library,36716.0,0.0
education,Pulaski County Library System,36716.0,0.0
education,Union County Public Library,36716.0,0.0
education,Chester Public Library,36677.0,0.0
education,Brewer Public Library,36548.0,0.0
growth,Altadena Library District,36540.0,0.0
education,The Confederated Tribes of the Colville Reservation,36525.0,0.0
growth,Morristown-Hamblen Public Library,36475.0,0.0
growth,Ypsilanti District Library,36354.0,0.0
education,Auburn Public Library,36309.0,0.0
growth,Santa Maria Public Library,36186.0,0.0
education,Parlin Memorial Library,36170.0,0.0
growth,Huntsville Public Library,36167.0,0.0
growth,Putnam County Library,36130.0,0.0
growth,St. Lucie County Library System,36126.0,0.0
education,Opelousas-Eunice Public Lbraries,36103.0,0.0
education,Rushville Public Library,36036.0,0.0
growth,Wyoming County Public Library,36027.0,0.0
growth,City-County Public Library,36027.0,0.0
education,Anaheim Public Library,36000.0,0.0
education,Friends of the Pasco County Library System Inc,36000.0,0.0
others,YouthCare,36000.0,0.0
education,Solano County Library,36000.0,0.0
others,St. George’s University Medical School,35975.0,0.0
education,Hooksett Public Library,35970.0,0.0
health,Vrutti,35968.0,0.0
education,Waterville Public Library,35905.0,0.0
education,Door County Library,35745.0,0.0
growth,Shiawassee District Library,35722.0,0.0
growth,Lebanon-Wilson County Public Library,35688.0,0.0
growth,Multnomah County Library,35650.0,0.0
education,Library District #1 Doniphan County,35590.0,0.0
education,Willard Memorial Library,35480.0,0.0
education,Riverside Regional Library,35365.0,0.0
growth,Kemper-Newton Regional Library,35326.0,0.0
growth,Carnegie Public Library,35309.0,0.0
education,Vernon Parish Library,35169.0,0.0
education,Allen Parish Library,35116.0,0.0
education,Council Bluffs Public Library,35070.0,0.0
education,Elkhart Public Library,35066.0,0.0
education,Carroll County District Library,35066.0,0.0
education,Lane Public Library,35066.0,0.0
education,Genetics Society of America,35000.0,0.0
others,Passage 2000,35000.0,0.0
growth,United Nations Environment Programme,35000.0,0.0
others,"Funders for Lesbian and Gay Issues, Inc.",35000.0,0.0
health,International Society for Antiviral Research,35000.0,0.0
others,Minds Matter Seattle,35000.0,0.0
education,Edinburg Public Library,35000.0,0.0
